Exemplar,num_exemps,rev_bbox,Target,Count
exemp1,2,False,SEN9_1.8_6_300-400_Test_000011_2exemps_revFalse,201.19386291503906
exemp1,4,False,SEN9_1.8_6_300-400_Test_000011_4exemps_revFalse,137.81777954101562
exemp1,2,False,SEN9_1.8_6_300-400_Test_000002_2exemps_revFalse,210.3239288330078
exemp1,4,False,SEN9_1.8_6_300-400_Test_000002_4exemps_revFalse,125.8951416015625
exemp1,2,False,SEN9_1.8_6_300-400_Test_000003_2exemps_revFalse,259.1357421875
exemp1,4,False,SEN9_1.8_6_300-400_Test_000003_4exemps_revFalse,175.0239715576172
exemp1,2,False,SEN9_1.8_6_300-400_Test_000004_2exemps_revFalse,255.94345092773438
exemp1,4,False,SEN9_1.8_6_300-400_Test_000004_4exemps_revFalse,189.251953125
exemp1,2,False,SEN9_1.8_6_300-400_Test_000005_2exemps_revFalse,221.3095703125
exemp1,4,False,SEN9_1.8_6_300-400_Test_000005_4exemps_revFalse,143.15969848632812
exemp1,2,False,SEN9_1.8_6_300-400_Test_000006_2exemps_revFalse,137.33511352539062
exemp1,4,False,SEN9_1.8_6_300-400_Test_000006_4exemps_revFalse,85.30082702636719
exemp1,2,False,SEN9_1.8_6_300-400_Test_000007_2exemps_revFalse,120.19122314453125
exemp1,4,False,SEN9_1.8_6_300-400_Test_000007_4exemps_revFalse,71.68836212158203
exemp1,2,False,SEN9_1.8_6_300-400_Test_000008_2exemps_revFalse,192.36172485351562
exemp1,4,False,SEN9_1.8_6_300-400_Test_000008_4exemps_revFalse,115.76661682128906
exemp1,2,False,SEN9_1.8_6_300-400_Test_000009_2exemps_revFalse,188.67111206054688
exemp1,4,False,SEN9_1.8_6_300-400_Test_000009_4exemps_revFalse,200.27154541015625
exemp1,2,False,SEN9_1.8_6_300-400_Test_000010_2exemps_revFalse,215.08409118652344
exemp1,4,False,SEN9_1.8_6_300-400_Test_000010_4exemps_revFalse,156.91990661621094
exemp2,2,False,SEN9_1.8_6_300-400_Test_000011_2exemps_revFalse,73.31979370117188
exemp2,4,False,SEN9_1.8_6_300-400_Test_000011_4exemps_revFalse,77.79214477539062
exemp2,2,False,SEN9_1.8_6_300-400_Test_000002_2exemps_revFalse,89.89593505859375
exemp2,4,False,SEN9_1.8_6_300-400_Test_000002_4exemps_revFalse,70.2709732055664
exemp2,2,False,SEN9_1.8_6_300-400_Test_000003_2exemps_revFalse,125.44989013671875
exemp2,4,False,SEN9_1.8_6_300-400_Test_000003_4exemps_revFalse,91.98301696777344
exemp2,2,False,SEN9_1.8_6_300-400_Test_000004_2exemps_revFalse,79.87251281738281
exemp2,4,False,SEN9_1.8_6_300-400_Test_000004_4exemps_revFalse,104.35257720947266
exemp2,2,False,SEN9_1.8_6_300-400_Test_000005_2exemps_revFalse,81.22651672363281
exemp2,4,False,SEN9_1.8_6_300-400_Test_000005_4exemps_revFalse,73.17778778076172
exemp2,2,False,SEN9_1.8_6_300-400_Test_000006_2exemps_revFalse,55.4892463684082
exemp2,4,False,SEN9_1.8_6_300-400_Test_000006_4exemps_revFalse,60.03588104248047
exemp2,2,False,SEN9_1.8_6_300-400_Test_000007_2exemps_revFalse,52.03624725341797
exemp2,4,False,SEN9_1.8_6_300-400_Test_000007_4exemps_revFalse,53.98489761352539
exemp2,2,False,SEN9_1.8_6_300-400_Test_000008_2exemps_revFalse,71.54741668701172
exemp2,4,False,SEN9_1.8_6_300-400_Test_000008_4exemps_revFalse,64.4886474609375
exemp2,2,False,SEN9_1.8_6_300-400_Test_000009_2exemps_revFalse,80.45005798339844
exemp2,4,False,SEN9_1.8_6_300-400_Test_000009_4exemps_revFalse,118.07157135009766
exemp2,2,False,SEN9_1.8_6_300-400_Test_000010_2exemps_revFalse,67.52073669433594
exemp2,4,False,SEN9_1.8_6_300-400_Test_000010_4exemps_revFalse,78.94129943847656
exemp1,2,True,SEN9_1.8_6_300-400_Test_000011_2exemps_revTrue,158.18600463867188
exemp1,4,True,SEN9_1.8_6_300-400_Test_000011_4exemps_revTrue,169.11761474609375
exemp1,2,True,SEN9_1.8_6_300-400_Test_000002_2exemps_revTrue,210.45895385742188
exemp1,4,True,SEN9_1.8_6_300-400_Test_000002_4exemps_revTrue,154.09735107421875
exemp1,2,True,SEN9_1.8_6_300-400_Test_000003_2exemps_revTrue,208.621826171875
exemp1,4,True,SEN9_1.8_6_300-400_Test_000003_4exemps_revTrue,200.70220947265625
exemp1,2,True,SEN9_1.8_6_300-400_Test_000004_2exemps_revTrue,181.6346435546875
exemp1,4,True,SEN9_1.8_6_300-400_Test_000004_4exemps_revTrue,260.99273681640625
exemp1,2,True,SEN9_1.8_6_300-400_Test_000005_2exemps_revTrue,207.8111572265625
exemp1,4,True,SEN9_1.8_6_300-400_Test_000005_4exemps_revTrue,218.48971557617188
exemp1,2,True,SEN9_1.8_6_300-400_Test_000006_2exemps_revTrue,132.60548400878906
exemp1,4,True,SEN9_1.8_6_300-400_Test_000006_4exemps_revTrue,118.86245727539062
exemp1,2,True,SEN9_1.8_6_300-400_Test_000007_2exemps_revTrue,123.82568359375
exemp1,4,True,SEN9_1.8_6_300-400_Test_000007_4exemps_revTrue,110.84703826904297
exemp1,2,True,SEN9_1.8_6_300-400_Test_000008_2exemps_revTrue,198.4930419921875
exemp1,4,True,SEN9_1.8_6_300-400_Test_000008_4exemps_revTrue,184.04360961914062
exemp1,2,True,SEN9_1.8_6_300-400_Test_000009_2exemps_revTrue,186.13671875
exemp1,4,True,SEN9_1.8_6_300-400_Test_000009_4exemps_revTrue,320.59954833984375
exemp1,2,True,SEN9_1.8_6_300-400_Test_000010_2exemps_revTrue,192.17486572265625
exemp1,4,True,SEN9_1.8_6_300-400_Test_000010_4exemps_revTrue,198.76242065429688
exemp2,2,True,SEN9_1.8_6_300-400_Test_000011_2exemps_revTrue,129.42550659179688
exemp2,4,True,SEN9_1.8_6_300-400_Test_000011_4exemps_revTrue,25.384647369384766
exemp2,2,True,SEN9_1.8_6_300-400_Test_000002_2exemps_revTrue,256.1907958984375
exemp2,4,True,SEN9_1.8_6_300-400_Test_000002_4exemps_revTrue,58.10072708129883
exemp2,2,True,SEN9_1.8_6_300-400_Test_000003_2exemps_revTrue,335.94354248046875
exemp2,4,True,SEN9_1.8_6_300-400_Test_000003_4exemps_revTrue,67.9074935913086
exemp2,2,True,SEN9_1.8_6_300-400_Test_000004_2exemps_revTrue,359.0062561035156
exemp2,4,True,SEN9_1.8_6_300-400_Test_000004_4exemps_revTrue,88.75691986083984
exemp2,2,True,SEN9_1.8_6_300-400_Test_000005_2exemps_revTrue,221.32275390625
exemp2,4,True,SEN9_1.8_6_300-400_Test_000005_4exemps_revTrue,53.33513641357422
exemp2,2,True,SEN9_1.8_6_300-400_Test_000006_2exemps_revTrue,88.36549377441406
exemp2,4,True,SEN9_1.8_6_300-400_Test_000006_4exemps_revTrue,39.258514404296875
exemp2,2,True,SEN9_1.8_6_300-400_Test_000007_2exemps_revTrue,62.928260803222656
exemp2,4,True,SEN9_1.8_6_300-400_Test_000007_4exemps_revTrue,25.54672622680664
exemp2,2,True,SEN9_1.8_6_300-400_Test_000008_2exemps_revTrue,126.7079849243164
exemp2,4,True,SEN9_1.8_6_300-400_Test_000008_4exemps_revTrue,33.921051025390625
exemp2,2,True,SEN9_1.8_6_300-400_Test_000009_2exemps_revTrue,155.12583923339844
exemp2,4,True,SEN9_1.8_6_300-400_Test_000009_4exemps_revTrue,60.14219665527344
exemp2,2,True,SEN9_1.8_6_300-400_Test_000010_2exemps_revTrue,205.656982421875
exemp2,4,True,SEN9_1.8_6_300-400_Test_000010_4exemps_revTrue,59.51191329956055
